category_name,location,object_code,serial_number
First Aid Kit,Kubota #1,,
Individual First Aid Kit + Tourniquet,Kubota #1,,
10lbs ABC Fire Extinguishers,Kubota #2,,
DAS,Loaned,,
DAS,Loaned,,
,,,
,,,
10lbs ABC Fire Extinguishers,MCC,setyl.it/305PJ2,
10lbs ABC Fire Extinguishers,MCC,setyl.it/94D6EW,
10lbs ABC Fire Extinguishers,MCC,setyl.it/ZYDF0N,
Amagine Axis Q8752 Cameras,MCC,,
Amagine Axis Q8752 Cameras,MCC,,
Backpack Sprayer,MCC,setyl.it/UH40UV,
Backpack Sprayer,MCC,setyl.it/7RNXFJ,
Binoculars,MCC,,
Binoculars,MCC,,
Breaker Bar,MCC,setyl.it/YZQ18S,
Bucket,MCC,,
Bucket,MCC,,
Bucket,MCC,,
Bucket,MCC,,
EchoDyne 8' Cable (#1-4),MCC,,
EchoDyne 8' Cable (#1-4),MCC,,
Extension Cords,MCC,,
Extension Cords,MCC,,
Extension Cords,MCC,,
Extension Cords,MCC,,
Extension Cords,MCC,,
Extension Cords,MCC,,
Extension Cords,MCC,,
Fire Blankets,MCC,,
Fire Blankets,MCC,,
Fire Blankets,MCC,,
Fire Blankets,MCC,,
First Aid Kit,MCC,,
First Aid Kit,MCC,,
Flammable Equipment Storage Cabinet,MCC,,
Garden Hoe,MCC,setyl.it/K6ZFYR,
Gas Fuel Can,MCC,setyl.it/UJXK36,
Gas Fuel Can,MCC,setyl.it/2W3349,
Gas Fuel Can,MCC,setyl.it/MP5Q6P,
General Spill Absorbent,MCC,,
General Spill Absorbent,MCC,,
General Spill Absorbent,MCC,,
General Spill Absorbent,MCC,,
Generator (15KW),MCC,,
GoalZero Yeti Batteries (#1-4),MCC,,
Handsaw,MCC,,
Handsaw,MCC,,
Harness,MCC,,
Harness,MCC,,
Heavy Duty Rubber Garden Hose,MCC,,
Heavy Duty Rubber Garden Hose,MCC,,
Individual First Aid Kit + Tourniquet,MCC,setyl.it/H90V50,
Individual First Aid Kit + Tourniquet,MCC,setyl.it/XQW8CA,
Individual First Aid Kit + Tourniquet,MCC,setyl.it/VNBSFQ,
Individual First Aid Kit + Tourniquet,MCC,setyl.it/THE5E3,
Individual First Aid Kit + Tourniquet,MCC,setyl.it/Q6T53D,
Individual First Aid Kit + Tourniquet,MCC,setyl.it/CM7MEX,
Leather Gloves,MCC,,
Leather Gloves,MCC,,
Leather Gloves,MCC,,
Leather Gloves,MCC,,
Leather Gloves,MCC,,
Leather Gloves,MCC,,
Leather Gloves,MCC,,
LED Tent Lights,MCC,,
LED Tent Lights,MCC,,
LED Tent Lights,MCC,,
Pelican Case for Solar Setup,MCC,,
Pelican Case for Solar Setup,MCC,,
Pick,MCC,,
Pipe Wrench Set,MCC,,
Pressure-Washers with Honda Motors,MCC,setyl.it/N8K6X9,
Radar Units,MCC,,
Radar Units,MCC,,
Radar-Hub,MCC,,
Ranger 300 Solar Panel,MCC,setyl.it/THMJNC,
Ranger 300 Solar Panel,MCC,setyl.it/TC2B5Y,
Sawzall,MCC,setyl.it/JT6DDX,DFY9P0V
Sawzall,MCC,setyl.it/FTJKWG,DFY9R18
Spade Shovels,MCC,,
Spill Dams,MCC,,
Spill Dams,MCC,,
Spill Dams,MCC,,
Standard Shovels,MCC,,
Standard Shovels,MCC,,
Standard Shovels,MCC,,
Standard Shovels,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Surge Protectors,MCC,,
Tool Bags,MCC,,
Tower Mount Kit (Medium),MCC,,
Tower Mount Kit (Medium),MCC,,
Vehicle Recovery Boards,MCC,setyl.it/D9VR7S,
Vehicle Recovery Boards,MCC,setyl.it/E49NSP,
Water Canisters,MCC,setyl.it/3796JY,
Water Canisters,MCC,setyl.it/AKWJD6,
Water Canisters,MCC,setyl.it/QV6BBS,
Water Canisters,MCC,setyl.it/GLLBPZ,
Wheel Barrow,MCC,,
Diesel Fuel Can,MCC,setyl.it/NS7D0F,IPG 2 (Sharpied on)
Diesel Fuel Can,MCC,setyl.it/0PAV58,
Diesel Fuel Can,MCC,setyl.it/3B000E,
Hardhat with Headlight,MCC,setyl.it/Z2SNSE,
Hardhat with Headlight,MCC,setyl.it/ARLJRK,
Hardhat with Headlight,MCC,setyl.it/JCKFU7,
Hardhat with Headlight,MCC,setyl.it/13PGRE,
Hardhat with Headlight,MCC,setyl.it/MMUJ0D,
Hardhat with Headlight,MCC,setyl.it/SYEXB0,
Dewalt Tool Battery,MCC,setyl.it/ZGM0N2,L0F7NEC
