Item,Location
10lbs ABC Fire Extinguishers,Kubota #2
10lbs ABC Fire Extinguishers,MCC
10lbs ABC Fire Extinguishers,MCC
10lbs ABC Fire Extinguishers,MCC
10lbs ABC Fire Extinguishers,OTA
10lbs ABC Fire Extinguishers,OTA
10lbs ABC Fire Extinguishers,OTA
10lbs ABC Fire Extinguishers,RIC
Alienware Aurora Ryzen Gaming Computer,RIC
Amagine Axis Q8752 Cameras,MCC
Amagine Axis Q8752 Cameras,MCC
Amagine Axis Q8752 Cameras,OTA
Amagine Axis Q8752 Cameras,RIC
Apricorn Drives- 128 GB Mac,RIC
Apricorn Drives- 128 GB Mac,RIC
Apricorn Drives- 5 TB Windows,RIC
Apricorn Drives- 5 TB Windows,RIC
Atmospheric Transmissometer,RIC
Backpack Sprayer,MCC
Backpack Sprayer,MCC
Binoculars,MCC
Binoculars,MCC
Breaker Bar,MCC
Breaker Bar,OTA
Bucket,MCC
Bucket,MCC
Bucket,MCC
Bucket,MCC
CACI Computer,RIC
CACI Spectrum Analyzer Power Source,RIC
CACI Wedge antenna,RIC
Camera Trailer,RIC
Circular Saw,MCC
Circular Saw,OTA
DAS,Loaned
DAS,Loaned
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
DAS,RIC
Defibrillator Unit,OTA
Defibrillator Unit,OTA
Diesel Fuel Cans (#1-3),MCC
Diesel Fuel Cans (#1-3),MCC
Diesel Fuel Cans (#1-3),MCC
Diesel Fuel Cans (#1-3),MCC
Diesel Fuel Cans (#1-3),OTA
Diesel Fuel Cans (#1-3),OTA
Diesel Fuel Cans (#1-3),OTA
Document Storage - Secure,RIC
Document Storage - Secure,RIC
EchoDyne 8' Cable (#1-4),MCC
EchoDyne 8' Cable (#1-4),MCC
EchoDyne 8' Cable (#1-4),RIC
EchoDyne Toughbook,RIC
Electric Space Heaters,OTA
Electric Space Heaters,OTA
Electric Space Heaters,OTA
Electric Space Heaters,OTA
Escape Respirator,OTA
Escape Respirator,OTA
Extension Cords,MCC
Extension Cords,MCC
Extension Cords,MCC
Extension Cords,MCC
Extension Cords,MCC
Extension Cords,MCC
Extension Cords,MCC
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,OTA
Extension Cords,RIC
Extension Cords,RIC
External G Drives- 7.68 TB,RIC
External G Drives- 7.68 TB,RIC
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Extra Tool Battery Chargers,OTA
Fire Blankets,MCC
Fire Blankets,MCC
Fire Blankets,MCC
Fire Blankets,MCC
First Aid Kit,Kubota #1
First Aid Kit,MCC
First Aid Kit,MCC
First Aid Kit,OTA
First Aid Kit,OTA
First Aid Kit,OTA
First Aid Kit,OTA
First Aid Kit,OTA
Flammable Equipment Storage Cabinet,MCC
Flammable Equipment Storage Cabinet,OTA
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Flashlights,RIC
Fluke Current Pen,RIC
Folding Tables (#1-3),OTA
Folding Tables (#1-3),OTA
Folding Tables (#1-3),OTA
Folding Tables (#1-3),OTA
Garden Hoe,MCC
Garden Hoe,OTA
Gas Fuel Cans (#1-4),MCC
Gas Fuel Cans (#1-4),MCC
Gas Fuel Cans (#1-4),OTA
Gas Fuel Cans (#1-4),OTA
General Spill Absorbent,MCC
General Spill Absorbent,MCC
General Spill Absorbent,MCC
General Spill Absorbent,MCC
General Spill Absorbent,OTA
General Spill Absorbent,OTA
General Spill Absorbent,OTA
General Spill Absorbent,OTA
General Tool Kit,RIC
Generator (15KW),MCC
Generator (15KW),OTA
GoalZero Yeti Batteries (#1-4),MCC
GoalZero Yeti Batteries (#1-4),OTA
GoalZero Yeti Batteries (#1-4),
GoalZero Yeti Batteries (#1-4),RIC
GoPro - Squid Mounts (#1-2),RIC
GoPro - Squid Mounts (#1-2),RIC
GoPro (#1-#2),RIC
GoPro (#1-#2),RIC
GoPro Battery Chargers (#1-2),RIC
GoPro Battery Chargers (#1-2),RIC
GoPro Spare Batteries (#1-6),RIC
GoPro Spare Batteries (#1-6),RIC
GoPro Spare Batteries (#1-6),RIC
GoPro Spare Batteries (#1-6),RIC
GoPro Spare Batteries (#1-6),RIC
GoPro Spare Batteries (#1-6),RIC
GPS Device  (#1 & #2),RIC
GPS Device  (#1 & #2),RIC
Handsaw,MCC
Handsaw,MCC
Hardhat with Headlight,OTA
Hardhat with Headlight,OTA
Hardhat with Headlight,OTA
Hardhat with Headlight,OTA
